"Rank","Player","Team","Bye","POS","BB10","RTSports","Underdog","Drafters","DraftKings","AVG"
"1","Christian McCaffrey","SF","6 ","RB1","1","1","1","","","1.0"
"2","Dalvin Cook","","","RB2","2","2","2.1","","","2.0"
"3","Alvin Kamara","NO","6","RB3","3","3","4.3","","","3.4"
"4","Derrick Henry","BAL","8","RB4","4","4","3.8","","","3.9"
"5","Ezekiel Elliott","","","RB5","5","5","5.6","","","5.2"
"6","Travis Kelce","KC","12","TE1","6","7","6.5","","","6.5"
"7","Davante Adams","LAR","11","WR1","7","6","6.8","","","6.6"
"8","Jonathan Taylor","IND","14","RB6","9","8","16.9","","","11.3"
"9","Tyreek Hill","","","WR2","10","10","8.1","","","9.4"
"10","Saquon Barkley","PHI","14","RB7","8","13","10.9","","","10.6"
"11","Austin Ekeler","","","RB8","12","9","11.8","","","10.9"
"12","Aaron Jones Sr.","MIN","7","RB9","11","11","10.3","","","10.8"
"13","Nick Chubb","","","RB10","13","12","15.3","","","13.4"
"14","Stefon Diggs","","","WR3","14","14","10.1","","","12.7"
"15","Antonio Gibson","","","RB11","15","15","15.8","","","15.3"
"16","Calvin Ridley","TEN","13","WR4","16","17","13.4","","","15.5"
"17","Najee Harris","LAC","7","RB12","18","16","20.5","","","18.2"
"18","DeAndre Hopkins","BAL","8","WR5","17","18","14.9","","","16.6"
"19","Joe Mixon","","","RB13","19","20","19.8","","","19.6"
"20","DK Metcalf","PIT","7","WR6","20","21","18.2","","","19.7"
"21","Darren Waller","","","TE2","21","22","22.6","","","21.9"
"22","Justin Jefferson","MIN","7","WR7","22","23","22.8","","","22.6"
"23","A.J. Brown","NE","14","WR8","23","24","20.1","","","22.4"
"24","Clyde Edwards-Helaire","","","RB14","24","25","23.5","","","24.2"
"25","Patrick Mahomes II","KC","12","QB1","32","19","35.4","","","28.8"
"26","George Kittle","SF","6","TE3","26","29","27.1","","","27.4"
"27","Keenan Allen","LAC","7","WR9","25","31","25.8","","","27.3"
"28","David Montgomery","HOU","10","RB15","31","26","39.3","","","32.1"
"29","Terry McLaurin","WAS","9","WR10","29","28","27.8","","","28.3"
"30","CeeDee Lamb","DAL","7","WR11","30","30","24.7","","","28.2"
"31","Allen Robinson","II","","WR12","27","34","29.2","","","30.1"
"32","D'Andre Swift","CHI","10","RB16","28","36","34.1","","","32.7"
"33","Robert Woods ","","","WR13","33","35","32.9","","","33.6"
"34","Chris Carson ","","","RB17","35","33","39.6","","","35.9"
"35","Josh Allen","BUF","7","QB2","46","27","50.6","","","41.2"
"36","Mike Evans","SF","6","WR14","36","39","34.6","","","36.5"
"37","Amari Cooper","","","WR15","34","43","31.3","","","36.1"
"38","Josh Jacobs","GB","13","RB18","39","38","58.3","","","45.1"
"39","James Robinson ","","","RB19","47","32","96.6","","","58.5"
"40","Miles Sanders","","","RB20","37","42","52.1","","","43.7"
"41","Chris Godwin Jr.","TB","9 ","WR16","38","41","40.4","","","39.8"
"42","Cooper Kupp","SEA","9","WR17","42","44","37.2","","","41.1"
"43","Tyler Lockett","LV","8","WR18","40","48","35.9","","","41.3"
"44","Kyler Murray","MIN","7","QB3","54","37","55.8","","","48.9"
"45","DJ Moore","BUF","7","WR19","41","54","41.1","","","45.4"
"46","Diontae Johnson","","","WR20","43","56","48.9","","","49.3"
"47","Kyle Pitts Sr.","ATL","6","TE4","53","47","46.7","","","48.9"
"48","Javonte Williams","DAL","7","RB21","49","52","69.2","","","56.7"
"49","Julio Jones","","","WR21","45","57","39.2","","","47.1"
"50","Mike Davis","","","RB22","58","46","62","","","55.3"
"51","Lamar Jackson","BAL","8","QB4","61","45","55.3","","","53.8"
"52","Mark Andrews","BAL","8","TE5","55","51","60.3","","","55.4"
"53","Adam Thielen","","","WR22","44","65","48","","","52.3"
"54","Myles Gaskin","","","RB23","60","49","65.9","","","58.3"
"55","T.J. Hockenson","MIN","7 ","TE6","56","53","62.3","","","57.1"
"56","Darrell Henderson Jr.","","","RB24","51","59","46.4","","","52.1"
"57","Brandon Aiyuk","SF","6","WR23","50","64","45","","","53.0"
"58","Tee Higgins","CIN","10","WR24","48","67","46","","","53.7"
"59","Kareem Hunt","","","RB25","52","63","69.1","","","61.4"
"60","Dak Prescott","DAL","7","QB5","67","50","65.6","","","60.9"
"61","Chase Edmonds","WAS","9","RB26","65","61","78.7","","","68.2"
"62","Chase Claypool","","","WR25","57","71","51.7","","","59.9"
"63","Russell Wilson","","","QB6","72","58","75.5","","","68.5"
"64","Aaron Rodgers","PIT","7","QB7","77","55","83.7","","","71.9"
"65","Damien Harris","","","RB27","76","60","85.2","","","73.7"
"66","Odell Beckham Jr.","NYG","10","WR26","63","76","55.2","","","64.7"
"67","Jerry Jeudy","CLE","13","WR27","64","75","58.7","","","65.9"
"68","Kenny Golladay","","","WR28","66","73","64.5","","","67.8"
"69","Raheem Mostert","LV","8 ","RB28","74","66","89.2","","","76.4"
"70","JuJu Smith-Schuster","NYG","10","WR29","68","72","78.3","","","72.8"
"71","Justin Herbert","LAC","7","QB8","79","62","81.4","","","74.1"
"72","Trey Sermon","","","RB29","75","68","73.3","","","72.1"
"73","Courtland Sutton","DEN","11","WR30","73","70","69.2","","","70.7"
"74","Robbie Chosen","","","WR31","69","80","","","","74.5"
"75","Ja'Marr Chase","CIN","10","WR32","59","91","45.4","","","65.1"
"76","Michael Thomas ","","","WR33","62","94","86.9","","","81.0"
"77","Deebo Samuel Sr.","","","WR34","78","82","65.2","","","75.1"
"78","Logan Thomas ","","","TE7","87","74","108.5","","","89.8"
"79","Tom Brady","","","QB9","94","69","102.3","","","88.4"
"80","Ronald Jones","II","","RB30","88","77","101.7","","","88.9"
"81","Melvin Gordon","III","","RB31","82","83","110.8","","","91.9"
"82","Tyler Boyd","","","WR35","70","97","70.4","","","79.1"
"83","DeVonta Smith","PHI","14","WR36","86","81","78","","","81.7"
"84","Noah Fant","NO","6","TE8","91","85","109","","","95.0"
"85","Laviska Shenault Jr.","","","WR37","81","96","73.1","","","83.4"
"86","Matthew Stafford","LAR","11","QB10","99","79","114.6","","","97.5"
"87","Antonio Brown ","","","WR38","85","93","74.1","","","84.0"
"88","Michael Carter","TEN","13","RB32","90","88","85.5","","","87.8"
"89","Jalen Hurts","PHI","14","QB11","97","86","108.9","","","97.3"
"90","Ryan Tannehill","","","QB12","107","78","110.8","","","98.6"
"91","Brandin Cooks","","","WR39","83","103","88.8","","","91.6"
"92","Corey Davis ","","","WR40","100","87","104.3","","","97.1"
"93","Robert Tonyan","PIT","7 ","TE9","106","84","114.4","","","101.5"
"94","Zack Moss","","","RB33","103","89","107.7","","","99.9"
"95","Leonard Fournette","","","RB34","102","90","123","","","105.0"
"96","Dallas Goedert","PHI","14","TE10","92","100","101.1","","","97.7"
"97","DJ Chark Jr. ","","","WR41","80","113","78.2","","","90.4"
"98","AJ Dillon","CAR","13","RB35","89","107","96.5","","","97.5"
"99","William Fuller","V","","WR42","84","115","85.3","","","94.8"
"100","Jarvis Landry","","","WR43","93","110","89.9","","","97.6"
"101","Michael Pittman Jr.","PIT","7","WR44","105","98","107.8","","","103.6"
"102","Joe Burrow","CIN","10","QB13","114","92","115.5","","","107.2"
"103","James Conner","ARI","12","RB36","111","99","119.7","","","109.9"
"104","Tyler Higbee","LAR","11 ","TE11","109","101","102.2","","","104.1"
"105","Michael Gallup ","","","WR45","95","121","72.8","","","96.3"
"106","Jamaal Williams","","","RB37","115","102","138.3","","","118.4"
"107","Curtis Samuel","","","WR46","101","120","89.9","","","103.6"
"108","Jaylen Waddle","DEN","11","WR47","108","114","93.4","","","105.1"
"109","Kenyan Drake ","","","RB38","110","112","132.1","","","118.0"
"110","Hollywood Brown","PHI","14","WR48","98","126","98.8","","","107.6"
"111","Nyheim Miller-Hines","","","RB39","119","106","146.6","","","123.9"
"112","Mike Gesicki","CIN","10","TE12","118","108","135","","","120.3"
"113","Matt Ryan","","","QB14","124","105","140.5","","","123.2"
"114","Devin Singletary","NYG","10","RB40","122","109","146.8","","","125.9"
"115","Marquez Callaway","","","WR49","129","104","147.9","","","127.0"
"116","Mike Williams","","","WR50","104","130","70.3","","","101.4"
"117","Darnell Mooney","NYG","10","WR51","112","124","91.3","","","109.1"
"118","Jonnu Smith","","","TE13","126","111","146.5","","","127.8"
"119","Tony Pollard","TEN","13","RB41","117","122","119.7","","","119.6"
"120","Trevor Lawrence","JAC","7","QB15","125","116","124.3","","","121.8"
"121","DeVante Parker","","","WR52","120","123","105.8","","","116.3"
"122","Marvin Jones Jr.","","","WR53","113","131","109.3","","","117.8"
"123","Kirk Cousins","LV","8","QB16","131","118","152.1","","","133.7"
"124","Sony Michel","","","RB42","157","95","","","","126.0"
"125","David Johnson","","","RB43","121","132","137.1","","","130.0"
"126","Justin Fields","KC","12","QB17","128","125","133","","","128.7"
"127","J.D. McKissic","","","RB44","137","117","163.9","","","139.3"
"128","Mecole Hardman Jr.","BUF","7","WR54","116","140","85.6","","","113.9"
"129","Henry Ruggs III ","","","WR55","130","129","","","","129.5"
"130","Hunter Henry","NE","14","TE14","145","119","173.4","","","145.8"
"131","Trey Lance","LAC","7","QB18","133","139","111.2","","","127.7"
"132","Russell Gage Jr.","","","WR56","132","142","107.3","","","127.1"
"133","Baker Mayfield","TB","9 ","QB19","136","138","154","","","142.7"
"134","Phillip Lindsay","","","RB45","148","127","183.8","","","152.9"
"135","Rob Gronkowski","","","TE15","143","135","158.9","","","145.6"
"136","Jakobi Meyers","JAC","7","WR57","144","136","141.9","","","140.6"
"137","James White ","","","RB46","139","141","179.2","","","153.1"
"138","Evan Engram","DEN","11","TE16","135","146","149.6","","","143.5"
"139","Elijah Moore","PHI","14","WR58","127","156","95.6","","","126.2"
"140","Tua Tagovailoa","ATL","6","QB20","141","145","144.8","","","143.6"
"141","Alexander Mattison","","","RB47","142","150","152.8","","","148.3"
"142","Cole Beasley","","","WR59","146","148","137.5","","","143.8"
"143","Gerald Everett","","","TE17","153","144","145.9","","","147.6"
"144","Rhamondre Stevenson","NE","14","RB48","164","134","","","","149.0"
"145","Ben Roethlisberger","","","QB21","155","143","184.1","","","160.7"
"146","Jalen Reagor","MIA","14","WR60","138","164","138.9","","","147.0"
"147","Tevin Coleman","","","RB49","178","128","193.8","","","166.6"
"148","Giovani Bernard","","","RB50","149","166","180.2","","","165.1"
"150","Sterling Shepard ","","","WR61","154","162","152","","","156.0"
"151","Austin Hooper","ATL","6","TE18","168","149","186.9","","","168.0"
"152","Ryan Fitzpatrick ","","","QB22","159","161","159.9","","","160.0"
"153","Kenneth Gainwell","TB","9","RB51","158","167","","","","162.5"
"154","Carson Wentz","MIN","7","QB23","162","165","","","","163.5"
"155","Latavius Murray","","","RB52","150","181","127.7","","","152.9"
"156","Terrace Marshall Jr.","MIA","14","WR62","152","179","126.9","","","152.6"
"157","Cole Kmet","CHI","10","TE19","156","175","171.3","","","167.4"
"158","Derek Carr","","","QB24","171","163","180.9","","","171.6"
"159","Baltimore Ravens","DST","8","DST1","183","152","","","","167.5"
"160","Jared Cook","","","TE20","182","155","168.8","","","168.6"
"161","Zach Ertz","","","TE21","180","158","","","","169.0"
"162","Jameis Winston","NYG","10 ","QB25","187","154","","","","170.5"
"163","Chuba Hubbard","CAR","13","RB53","167","176","","","","171.5"
"164","Nelson Agholor","","","WR63","161","184","133.7","","","159.6"
"165","Gabe Davis","","","WR64","147","208","","","","177.5"
"166","Damien Williams","","","RB54","165","190","169.5","","","174.8"
"167","Emmanuel Sanders","","","WR65","166","189","131.1","","","162.0"
"168","Zach Wilson","NO","6","QB26","185","174","183.2","","","180.7"
"169","Sam Darnold","SEA","9","QB27","188","172","187.3","","","182.4"
"170","Daniel Jones","IND","14 ","QB28","181","180","176.6","","","179.2"
"171","Rashaad Penny","","","RB55","163","199","166.4","","","176.1"
"172","Tampa Bay Buccaneers","DST","9","DST2","176","186","","","","181.0"
"173","Bryan Edwards","","","WR66","172","192","138.6","","","167.5"
"174","Anthony Firkser","WAS","9","TE22","186","183","167.1","","","178.7"
"175","Los Angeles Rams","DST","11","DST3","160","211","","","","185.5"
"176","Ty'Son Williams","","","RB56","211","160","","","","185.5"
"177","Buffalo Bills","DST","7","DST4","198","173","","","","185.5"
"178","Tre'Quan Smith","","","WR67","184","198","130.8","","","170.9"
"179","Christian Kirk","SF","6","WR68","196","187","166.3","","","183.1"
"180","Indianapolis Colts","DST","14","DST5","189","194","","","","191.5"
"181","Tony Jones Jr.","","","RB57","225","159","","","","192.0"
"182","Blake Jarwin","","","TE23","173","213","185.5","","","190.5"
"183","Adam Trautman","DEN","11","TE24","174","216","136.7","","","175.6"
"184","Mac Jones","SF","6","QB29","214","177","","","","195.5"
"185","Miami Dolphins","DST","14","DST6","190","203","","","","196.5"
"186","Darrel Williams","","","RB58","193","200","","","","196.5"
"187","Kansas City Chiefs","DST","12","DST7","205","193","","","","199.0"
"188","Marquez Valdes-Scantling","DAL","7","WR69","192","209","177.8","","","192.9"
"189","Tyrell Williams","","","WR70","199","202","178.1","","","193.0"
"190","Eric Ebron","","","TE25","197","207","","","","202.0"
"191","Amon-Ra St. Brown","DET","9","WR71","200","206","164.5","","","190.2"
"192","Parris Campbell","","","WR72","175","236","162.1","","","191.0"
"193","A.J. Green","","","WR73","202","212","152.4","","","188.8"
"194","Tarik Cohen","","","RB59","207","210","","","","208.5"
"195","Jerick McKinnon","","","RB60","227","191","","","","209.0"
"196","Jamison Crowder","","","WR74","179","242","165.9","","","195.6"
"197","T.Y. Hilton","","","WR75","151","280","158","","","196.3"
"198","Devontae Booker","","","RB61","226","204","","","","215.0"
"199","Boston Scott","","","RB62","236","196","","","","216.0"
"200","Rashod Bateman","BAL","8","WR76","177","257","109.3","","","181.1"
"201","Randall Cobb","","","WR77","194","240","146.4","","","193.5"
"202","Malcolm Brown","","","RB63","208","226","","","","217.0"
"203","San Francisco 49ers","DST","6","DST8","191","244","","","","217.5"
"204","Ty Johnson","BUF","7","RB64","219","223","","","","221.0"
"205","Atlanta Falcons","DST","6","DST9","292","168","","","","230.0"
"206","Carlos Hyde ","","","RB65","232","215","","","","223.5"
"207","Pittsburgh Steelers","DST","7","DST10","169","289","","","","229.0"
"208","Washington Commanders","DST","9","DST11","170","283","","","","226.5"
"209","Mark Ingram","II","","RB66","253","197","","","","225.0"
"210","Jared Goff","DET","9","QB30","220","232","","","","226.0"
"211","Denver Broncos","DST","11","DST12","203","251","","","","227.0"
"212","Sammy Watkins","","","WR78","215","241","157","","","204.3"
"213","Wayne Gallman Jr.","","","RB67","241","217","","","","229.0"
"214","Allen Lazard","","","WR79","239","220","187.3","","","215.4"
"215","Marlon Mack","","","RB68","230","231","","","","230.5"
"216","Deshaun Watson","CLE","13","QB31","204","263","193.9","","","220.3"
"217","Pat Freiermuth","PIT","7","TE26","245","222","","","","233.5"
"218","Teddy Bridgewater","DET","9","QB32","240","227","","","","233.5"
"219","Byron Pringle","","","WR80","247","224","191.7","","","220.9"
"220","Green Bay Packers","DST","13","DST13","222","250","","","","236.0"
"221","New England Patriots","DST","14","DST14","195","290","","","","242.5"
"222","KJ Hamler ","","","WR81","212","262","","","","237.0"
"223","Justin Jackson","","","RB69","238","238","","","","238.0"
"224","Cleveland Browns","DST","13","DST15","201","301","","","","251.0"
"225","New Orleans Saints","DST","6","DST16","209","273","","","","241.0"
"226","Salvon Ahmed","CHI","10","RB70","224","258","","","","241.0"
"227","John Brown","","","WR82","206","","167.2","","","186.6"
"228","Joshua Palmer","BUF","7","WR83","261","225","","","","243.0"
"229","Los Angeles Chargers","DST","7","DST17","210","293","","","","251.5"
"230","Xavier Jones","","","RB71","213","","179.6","","","196.3"
"231","Donald Parham Jr.","","","TE27","256","235","","","","245.5"
"232","Chicago Bears","DST","10","DST18","216","277","","","","246.5"
"233","Chris Herndon","IV","","TE28","244","249","","","","246.5"
"234","Arizona Cardinals","DST","12","DST19","218","276","","","","247.0"
"235","Darrynton Evans ","","","RB72","217","","196.9","","","206.9"
"236","Todd Gurley","II","","RB73","284","218","","","","251.0"
"237","Dan Arnold","","","TE29","237","260","","","","248.5"
"238","Hayden Hurst","","","TE30","221","286","","","","253.5"
"239","Las Vegas Raiders","DST","8","DST20","338","221","","","","279.5"
"240","Jimmy Garoppolo","LAR","11","QB33","267","233","","","","250.0"
"241","Seattle Seahawks","DST","9","DST21","234","267","","","","250.5"
"242","Jeff Wilson Jr.","","","RB74","223","281","","","","252.0"
"243","Denzel Mims","","","WR84","242","261","","","","251.5"
"244","Minnesota Vikings","DST","7","DST22","228","299","","","","263.5"
"245","Benny Snell Jr.","","","RB75","304","228","","","","266.0"
"246","New York Giants","DST","10","DST23","229","287","","","","258.0"
"247","Darius Slayton","NYG","10","WR85","231","297","191.3","","","239.8"
"248","Van Jefferson","WAS","9","WR86","233","","Photos provided by Imagn Images
Tags:
ADP
strategy
Share This Article
 Copy  
More by Clayton Gray
 
ESPN ADP Movement: How Player Values Are Changing
Clayton Gray

ESPN ADP: A look at the current state of ESPN ADP and how it is moving.

05/23/26
Read More 
 
2026 NFL Strength of Schedule By Team
Clayton Gray

The team-by-team strength of schedule for the 2026 NFL season.

05/15/26
Read More 
 
2026 NFL Schedule: Bye Weeks
Clayton Gray

Each team's bye week for the 2026 NFL schedule.

05/15/26
Read More 
 
2026 NFL Schedule: Prime Time Games
Clayton Gray

A team-by-team look at the 2026 NFL prime time games.

05/15/26
Read More 
 
2026 NFL Schedule, Ranking the International Games
Clayton Gray

Ranking the 2026 NFL International Games from must-watch to must-miss.

05/15/26
Read More 
 
2026 NFL Schedule Grid
Clayton Gray

The NFL schedule in grid format for the 2026 season.

05/15/26
Read More 
Latest Features
 
Crush Your Fantasy Draft With the Draft Dominator
Read More 
 
Fantasy Football 2026 Draft Rankings
Read More 
 
Rate My Team
Read More 
 
Fantasy Football Draft Kit 2026
Read More 
 
Gameday Updates
Read More 
More Features 
     
We Help You Win More at Fantasy Football.

Made by Footballguys in the USA 

Fantasy Tools
League Sync
Draft Dominator
League Dominator
Custom Rankings
Cheatsheets
Rate My Team
More Tools
DFS Lineup Builder
Dynasty Trade Value Chart Plus 
Experimental
Best Ball Rankings
Depth Charts
Snap Counts
Stats Tools
Content
Articles
News
Podcasts
Newsletter
Rookie Draft Guide
Injury Reports
Company
Advertise With Us
Shop
Mobile Apps
Gift a Subscription
Forums
Contests
Privacy Policy
Terms of Service
Contact Us
Security
Careers

© 2026 Sportsguys, LLC

Cookie Consent
We use cookies to personalize content, ads and analyze site traffic - learn more on our privacy policy.
Accept Close","","","233.0"
"249","O.J. Howard","","","TE31","257","255","","","","256.0"
"250","Le'Veon Bell","","","RB76","279","234","","","","256.5"
"251","Breshad Perriman","","","WR87","235","","171.5","","","203.2"
"252","Hunter Renfrow","","","WR88","272","243","","","","257.5"
"253","Kadarius Toney","","","WR89","270","245","","","","257.5"
"254","Joshua Kelley","","","RB77","287","237","","","","262.0"
"255","Dyami Brown","WAS","9","WR90","248","268","171.7","","","229.2"
"256","Dalton Schultz","HOU","10","TE32","271","247","","","","259.0"
"257","Tyler Kroft","","","TE33","263","256","","","","259.5"
"258","Tyler Conklin","DET","9","TE34","274","246","","","","260.0"
"259","Quez Watkins","PHI","14","WR91","243","295","","","","269.0"
"260","Donovan Peoples-Jones","","","WR92","246","282","197.3","","","241.8"
"261","Taysom Hill","","","TE35","255","271","","","","263.0"
"262","Dawson Knox","BUF","7","TE36","249","278","","","","263.5"
"263","Philadelphia Eagles","DST","14","DST24","250","294","","","","272.0"
"264","C.J. Uzomah","","","TE37","264","265","","","","264.5"
"265","Carolina Panthers","DST","13","DST25","251","284","","","","267.5"
"266","Nico Collins","HOU","10","WR93","252","","193.2","","","222.6"
"267","Dallas Cowboys","DST","7","DST26","266","264","","","","265.0"
"268","Alex Collins","","","RB78","294","252","","","","273.0"
"269","Larry Rountree","III","","RB79","277","254","","","","265.5"
"270","Juwan Johnson","NO","6","TE38","291","253","","","","272.0"
"271","DeSean Jackson","","","WR94","254","","186.7","","","220.3"
"272","Josh Reynolds","","","WR95","276","259","","","","267.5"
"273","Cam Newton","","","QB34","259","","","","","259.0"
"274","Samaje Perine","CIN","10","RB80","260","285","","","","272.5"
"275","Tennessee Titans","DST","13","DST27","262","298","","","","280.0"
"276","Qadree Ollison","","","RB81","265","","","","","265.0"
"277","Mekhi Sargent","","","RB82","375","266","","","","320.5"
"278","Jermar Jefferson","","","RB83","268","","","","","268.0"
"279","Demarcus Robinson","SF","6","WR96","269","","","","","269.0"
"280","Tyrod Taylor","GB","13","QB35","285","269","","","","277.0"
"281","Jaret Patterson","LAC","7","RB84","273","275","","","","274.0"
"282","Chris Evans","","","RB85","305","272","","","","288.5"
"283","Quintez Cephus ","","","WR97","275","","","","","275.0"
"284","Mo Alie-Cox","IND","14","TE39","278","","","","","278.0"
"285","New York Jets","DST","6","DST28","280","","","","","280.0"
"286","Dee Eskridge","","","WR98","281","","","","","281.0"
"287","Drew Lock","SEA","9","QB36","282","","","","","282.0"
"288","Tim Patrick","NYJ","6","WR99","283","","","","","283.0"
"289","Anthony McFarland Jr.","","","RB86","286","","","","","286.0"
"290","Jimmy Graham","","","TE40","288","","","","","288.0"
"291","Adam Humphries","","","WR100","289","","","","","289.0"
"292","Amari Rodgers","","","WR101","290","","","","","290.0"
"293","DeeJay Dallas","JAC","7","RB87","293","","","","","293.0"
"294","Jake Funk","","","RB88","295","","","","","295.0"
"295","Zach Pascal","","","WR102","296","","","","","296.0"
"296","Jack Doyle","","","TE41","303","292","","","","297.5"
"297","Cam Akers","","","RB89","298","","","","","298.0"
"298","Will Dissly","","","TE42","299","","","","","299.0"
"299","Javian Hawkins","TEN","13","RB90","300","","","","","300.0"
"300","J.J. Taylor","","","RB91","301","","","","","301.0"
"301","Kylin Hill ","","","RB92","302","","","","","302.0"
"302","Jacksonville Jaguars","DST","7","DST29","321","288","","","","304.5"
"303","Keelan Cole Sr.","","","WR103","306","","","","","306.0"
"304","JaMycal Hasty","","","RB93","322","291","","","","306.5"
"305","Cincinnati Bengals","DST","10","DST30","317","296","","","","306.5"
"306","Harrison Bryant","SEA","9","TE43","307","","","","","307.0"
"307","Preston Williams","","","WR104","308","","","","","308.0"
"308","Antonio Callaway","","","WR105","309","","","","","309.0"
"309","Kendrick Bourne","ARI","12","WR106","319","300","","","","309.5"
"310","David Njoku","LAC","7","TE44","310","","","","","310.0"
"311","Jordan Akins","","","TE45","311","","","","","311.0"
"312","Demetric Felton Jr.","","","RB94","312","","","","","312.0"
"313","Rashard Higgins","","","WR107","313","","","","","313.0"
"314","N'Keal Harry","","","WR108","314","","","","","314.0"
"315","Olamide Zaccheaus","ATL","6","WR109","315","","","","","315.0"
"316","Keke Coutee","","","WR110","316","","","","","316.0"
"317","Tyron Billy-Johnson","","","WR111","318","","","","","318.0"
"318","Jacob Harris","","","TE46","320","","","","","320.0"
"319","Jalen Guyton","","","WR112","323","","","","","323.0"
"320","Kyle Rudolph","","","TE47","324","","","","","324.0"
"321","Jacob Hollister","","","TE48","325","","","","","325.0"
"322","Eno Benjamin","","","RB95","326","","","","","326.0"
"323","Andy Dalton","PHI","14","QB37","327","","","","","327.0"
"324","Matt Breida","","","RB96","328","","","","","328.0"
"325","Elijah Mitchell","PHI","14","RB97","329","","","","","329.0"
"326","Detroit Lions","DST","9","DST31","330","","","","","330.0"
"327","Cordarrelle Patterson","","","RB98","331","","","","","331.0"
"328","Duke Johnson Jr.","","","RB99","332","","","","","332.0"
"329","Marquise Goodwin","","","WR113","333","","","","","333.0"
"330","Anthony Miller","","","WR114","334","","","","","334.0"
"331","Michael Strachan","","","WR115","335","","","","","335.0"
"332","D'Ernest Johnson","","","RB100","336","","","","","336.0"
"333","Foster Moreau","HOU","10","TE49","337","","","","","337.0"
"334","Albert Okwuegbunam Jr.","LV","8","TE50","339","","","","","339.0"
"335","James Washington","","","WR116","340","","","","","340.0"
"336","K.J. Osborn","TEN","13","WR117","341","","","","","341.0"
"337","Khalil Herbert","","","RB101","343","","","","","343.0"
"338","Isaiah McKenzie","","","WR118","344","","","","","344.0"
"339","Ihmir Smith-Marsette","ARI","12","WR119","345","","","","","345.0"
"340","Cornell Powell","","","WR120","347","","","","","347.0"
"341","Collin Johnson","","","WR121","348","","","","","348.0"
"342","Scotty Miller","CHI","10","WR122","349","","","","","349.0"
"343","Ke'Shawn Vaughn","","","RB102","350","","","","","350.0"
"344","Kalen Ballage","","","RB103","351","","","","","351.0"
"345","Travis Fulgham","","","WR123","352","","","","","352.0"
"346","Devin Funchess","","","WR124","353","","","","","353.0"
"347","Royce Freeman","","","RB104","354","","","","","354.0"
"348","Brian Hill","","","RB105","355","","","","","355.0"
"349","Kylen Granson","TEN","13","TE51","356","","","","","356.0"
"350","Albert Wilson","","","WR125","357","","","","","357.0"
"351","Tutu Atwell","MIA","14 ","WR126","358","","","","","358.0"
"352","D'Onta Foreman","","","RB106","359","","","","","359.0"
"353","Jordan Howard","","","RB107","360","","","","","360.0"
"354","Devin Duvernay","ARI","12","WR127","361","","","","","361.0"
"355","Rodney Smith","","","WR128","362","","","","","362.0"
"356","Chris Conley","","","WR129","363","","","","","363.0"
"357","Josh Adams","","","RB108","364","","","","","364.0"
"358","Noah Gray","KC","12","TE52","365","","","","","365.0"
"359","Darwin Thompson","","","RB109","366","","","","","366.0"
"360","Josh Oliver","MIN","7","TE53","367","","","","","367.0"
"361","Tylan Wallace","CLE","13","WR130","368","","","","","368.0"
"362","Gardner Minshew II","ARI","12","QB38","369","","","","","369.0"
"363","Derek Carrier","","","TE54","370","","","","","370.0"
"364","Tyler Johnson","DAL","7","WR131","371","","","","","371.0"
"365","Kene Nwangwu","NYJ","6","RB110","372","","","","","372.0"
"366","Marcus Mariota","WAS","9","QB39","373","","","","","373.0"
"367","Gerrid Doaks","","","RB111","374","","","","","374.0"
"368","La'Mical Perine","","","RB112","376","","","","","376.0"
"369","Jordan Love","GB","13","QB40","377","","","","","377.0"
"370","Devonta Freeman","","","RB113","378","","","","","378.0"
"371","Darren Fells","","","TE55","379","","","","","379.0"
"372","Houston Texans","DST","10","DST32","380","","","","","380.0"
"373","Dez Fitzpatrick","","","WR132","381","","","","","381.0"
"374","Adrian Peterson ","","","RB114","382","","","","","382.0"
"375","Andy Isabella","","","WR133","383","","","","","383.0"
"376","Trent Sherfield Sr.","BUF","7","WR134","384","","","","","384.0"
"377","Mohamed Sanu Sr.","","","WR135","385","","","","","385.0"
"378","Peyton Barber","","","RB115","386","","","","","386.0"
"379","Brevin Jordan","HOU","10","TE56","387","","","","","387.0"
"380","Patrick Ricard","NYG","10","RB116","388","","","","","388.0"
"381","Tyler Ervin","","","RB117","389","","","","","389.0"
"382","Dede Westbrook","","","WR136","390","","","","","390.0"
"383","Devin Asiasi","","","TE57","391","","","","","391.0"
"384","Chad Henne","","","QB41","392","","","","","392.0"
"385","Alex Armah Jr.","","","RB118","393","","","","","393.0"
"386","Greg Ward","","","WR137","394","","","","","394.0"
"387","Mike Glennon","","","QB42","395","","","","","395.0"
"388","Cedrick Wilson Jr.","DET","9","WR138","396","","","","","396.0"
"389","Jalen Hurd","","","WR139","397","","","","","397.0"
"390","Daurice Fountain","","","WR140","398","","","","","398.0"
"391","Mitchell Trubisky","TEN","13","QB43","399","","","","","399.0"
"392","Jordan Wilkins","","","RB119","400","","","","","400.0"
